,Aerospace & Aviation,Agriculture,Automobile / Autocomponents,Banking / Insurance & Finance,Beauty & Wellness Industry,Building & Construction,Building / Hardware & Home Furnishings,Chemicals & Pharmaceuticals,Commerce or Humanities Stream,Defense & Military,Designing & Art,Education / Skill Development,Electronics & Hardware,Emergency Services,Engineering & Technology,Exams and Syllabus,Food Processing,Gems & Jewellery,Handlooms & Handicrafts,Healthcare,Humanistic Studies,Information Technology / Software,Institutes in India,ITES / BPO,Law & Order,Leather & Leather Goods,Management & Marketing,Media / Entertainment & Animation,Organised Retail,Psychometric Career Test,Public Admin & Government,Real Estate,Science & Research,Sports,Study Abroad,Telecom,Textiles & Garments,Tourism / Hospitality & Travel,Transportation/Logistics/Warehousing & Packaging,some error occured
1301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Loyola Institute of Technology and Science Kanyakumari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1302,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LR Institute of Engineering and Technology Solan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lucknow Institute of Technology Lucknow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1304,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lumbini Group of Institutes- Faculty of Engineering Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1305,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lumbini School of Architecture and Town Planning Nalgonda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1306,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lyallpur Khalsa College of Engineering Jalandhar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1307,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M Dasan Institute of Technology Kozhikode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1308,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M.G. Institute of Management & Technology Lucknow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maa Bamleshwari Institute of Technology and Management Rajnandgaon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maa Saraswati Institute of Engineering and Technology Rohtak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1311,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maamallan Institute of Technology Sriperumbudur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Madha Engineering College Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Madha Institute of Engineering and Technology Chennai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Madhav Proudyogiki Mahavidyalaya Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Madhira College of Engineering Nalgonda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1316,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Madhira Institute of Technology and Science Kodad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Madhu Vachaspati Institute of Engieneering & Technology Kaushambi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1318,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Madhuben and Bhanubhai Patel Women Institute of Engineering for S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1319,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Madhukarrao Pandav College of Engineering Bhandara,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1320,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Madina Engineering College Cuddapah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Madurai Institute of Engineering and Technology Sivaganga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Magna College of Engineering Kancheepuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1323,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maha Barathi Engineering College Villupuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1324,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahakal Institute of Technology and Management Ujjain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahakavi Bharathiyar College of Engineering and Technology Tirunelveli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1326,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahalakshmi Engineering College Tiruchirappalli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1327,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahamaya Technical University Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1328,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaja Agrasain Institute Of Technology Ghaziabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1329,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaja Agrasen College of Engineering and Technology Moradabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1330,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaja Agresen Institute of Technology Solan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1331,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaja College of Engineering Udaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1332,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaja Engineering College for Women Erode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaja Engineering College Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaja Institute of Technology Khordha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1335,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaja Institute of Technology Mysore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaja Institute of Technology Neelambur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharaja Prithvi Engineering College Coimbatore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1338,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharana Institute of Professional Studies Kanpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1339,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharana Institute of Technology and Sciences Lucknow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharana Pratap College For Women Kanpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1341,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharana Pratap College of Engineering Kanpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharana Pratap College of Technology and Management Gwalior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1343,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharana Pratap College of Technology Gwalior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1344,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharana Pratap Engineering College Kanpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharana Pratap Institute of Technology and Management Mahendergarh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharana Pratap Mangla Devi Institute of Computer Science Technol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharana Pratap University of Agriculture and Technology Udaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1348,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharani Girls Engineering College Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1349,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharashtra Animal and Fishery Sciences University Nagpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharashtra College of Engineering Nilanga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharashtra Mudran Parishads Institute of Printing Technology and Research Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1352,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharashtra Udayagiri Institute of Management and Technology Latur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharishi Arvind College of Engineering and Research Centre Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharishi Arvind Institute of Engineering and Technology Jaipur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1355,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharishi Arvind International Institute of Technology Kota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1356,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maharishi Markandeshwar University Ambala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1357,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahant Bachittar Singh College of Engineering and Technology Jammu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1358,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahatama Gandhi Mission College of Engineering and Technology Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1359,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahath Amma Institute of Engineering and Technology Pudukkottai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1360,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahatma Basaweshwar Education Society College of Engineering Ambajogai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1361,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya Chitrakoot,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahatma Gandhi Institute of Engineering and Management Indore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1363,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahatma Gandhi Mission College of Engineering and Technology Mumbai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1364,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahatma Gandhi Missions College of Engineering and Technology Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1365,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahatma Gandhi Universe Institute Unnao,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahatma Phule Krishi Vidyapeeth Rahuri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1367,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahaveer Institute of Engineering and Technology Meerut,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1368,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahaveer Institute of Technology and Science Jadan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1369,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahavir Educational and Charitable Trust Group of Institutes- Col,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahavir Institute of Engineering and Technology Khordha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahendra Engineering College for Women Tiruchengode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1372,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahendra Engineering College Tiruchengode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1373,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahendra Institute of Engineering and Technology Tiruchengode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahendra Institute of Technology Tiruchengode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maheshwara Engineering College Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maheshwara Institute of Technology Patancheru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1377,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mahindra Ã‰cole Centrale Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1378,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maitree Institute of Management and Technology Latur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1379,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Majhighariani Institute of Technology Science Rayagada,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malabar College of Engineering and Technology Thrissur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malabar Institute of Technology Kannur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1382,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malhotra Technical Research Institute Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1383,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malineni Lakshmaiah Engineering College Singarayakonda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1384,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malineni Lakshmaiah Women Engineering Guntur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1385,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malineni Perumallu Educational Society Group of Institutions-Integrated Campus Guntur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1386,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malla Reddy College of Engineering for Women Hyderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1387,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malla Reddy Engineering College and Management Sciences Medchal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1388,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malla Reddy Engineering College for Women Secunderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1389,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malla Reddy Institute of Engineering and Technology Medchal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malla Reddy Institute of Technology and Sciences Secunderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1391,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malla Reddy Institute Of Technology Secunderabad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1392,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malwa Institute of Science and Technology Indore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1393,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malwa Institute of Technology and Management Gwalior,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1394,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Malwa Institute of TechnologyIndore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1395,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MAM College of Engineering Tiruchirappalli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1396,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MAM School of Architecture Tiruchirappalli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1397,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MAM School of Engineering Siruganur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1398,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Manajiraje Bhosale Technical Campus-Faculty of Engineering Sangli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1399,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Manav Institute of Technology and Management Hisar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Manav School of Architecture Akola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Manav School of Engineering and Technology Akola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mandava Institute of Engineering and Technology Jaggayyapet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1403,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mandsaur Institute of Technology-Indore Campus Indore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1404,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mandsaur Institute of Technology Mandsaur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1405,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mangalmay Institute of Management and Technology Greater Noida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mangalore Institute of Techology and Engineering Mangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1407,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mangalore Marine College and Technology Mangalore,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mangayarkarasi College of Engineering Madurai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1409,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Manipur Institute of Technology Takyelpat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1410,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mannan Institute of Science and Technology Chevella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1411,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Manoharbhai Patel Institute of Engineering and Technology Shahapur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1412,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mansarovar Institute of Science and Technology Bhopal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1413,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mar Baselios Christian College of Engineering and Technology Idukki,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1414,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mar Baselios College of Engineering and Technology Thiruvananthapuram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1415,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mar Baselios Institute of Technology and Science Ernakulam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1416,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MAR College of Engineering and Technology Pudukkottai,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1417,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marathwada Mitra Mandal's College of Architecture Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marathwada Mitra Mandal's College of Engineering Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1419,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marathwada Mitra Mandal Institute of Technology Pune,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1420,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marathwada Shikshan Prasarak Mandal's Faculty of Engineering,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1421,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marconi Institute of Technology Ranga Reddy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1422,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maria College of Engineering and Technology Kanyakumari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1423,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marri Educational Society Group of Institutions- Faculty of Engin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1424,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marthandam College of Engineering and Technology Kanyakumari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marudhar Engineering College Bikaner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1426,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marwar Engineering College and Research Centre Jodhpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marwar Institute of Technology Jodhpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1428,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mary Matha College of Engineering & Technology Thriuvanantha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1429,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Maryland Institute of Technology and Management Galudih,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mass College of Engineering & Management Hathras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1431,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mata Rajkaur Institute of Engineering and Technology Rewari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1432,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Matha College of Technology Ernakulam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
